plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
BATBOX1,1,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB),BOX,N,Y,Approved
BEACHY1,4,LOVE THE BEACH,BEACHY LOOKS LIKE BITCHY 1,N,Y,Approved
DAVES88,2,DAVES 1988 TOYOTA,88 HITLER REFRENCE,N,Y,Approved
DMOBGFY,2,GREEK SLANG FOR I LOVE YOU,MOB,N,Y,Approved
DOITFKR,4,DO IT,DO IT FUCKER,N,Y,Approved
FJ 666,2,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,666 EVIL,Y,N,invalid characters
HVNNHEL,2,ALBUM TITLE,HEAVEN AND HELL,Y,N,contains the restricted letter combinationHEL
H8DES,2,FAVORITE GREEK MYTH,HATE DES,N,Y,Approved
JIMENZ5,2,LAST NAME,JIMENEZ,REMOVE,Y,Approved
LHGLA88,2,TRAVEL THROUGH LOS ANGELES,88 HITLER REFERENCE,N,Y,Approved
PORKS15,5,NO MICRO AVAILABLE,PORKS PIG,N,Y,Approved
PSYCDVA,1,PSYCHOLOGIST DIVA,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC,N,Y,Approved
PSYKD,1,PSYCHED,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED,N,Y,Approved
173D82D,2,NO MICRO AVAILABLE,CAN NOT TRANSLATE,Y,N,must be for disabled person or veteran
GAMMI$G,2,GRANDMA GOOLSBY,G AS IN GANGSTER,Y,N,invalid characters
G$DSKK,2,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS,G AS IN GANGSTER,Y,N,invalid characters
FN2IB7,2,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN,N,Y,Approved
FRESD18,2,NO MICRO AVAILABLE,18 HITLER,N,Y,Approved
NO GAS X,2,ALL ELECTRIC CAR MODEL X,GAS,Y,N,invalid length
ELIKA13,2,ERIC IN HAWAIIAN AND LUCKY NUMBER,13 GANG REFERENCE,N,Y,Approved
DAAFAK,3,MY SON'S NAME,THE FUCK,N,Y,Approved
LCPSY18,4,FIST AND LAST INITIAL OF NAME. PSYCHOLOGY PROFESSOR,18-HITLER,N,Y,Approved
LILBLKB,7,LITTLE BLACK BEE,LIL BLACK BITCH? LAST NAME IS BLACK,N,Y,Approved
OPNWIDE,1,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,"SEXUAL? OPEN LEGS, OPEN MOUTH?",N,Y,Approved
RAJO42O,7,NAME MONTH DAY CAME TO AMERICA,420-WEED,N,Y,Approved
RMBO562,7,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N,Y,Approved
ROAK14,4,FIST INITIAL FOR FAMILY MEMBERS,14-HITLER,N,Y,Approved
RSPEC13,7,CAR MODEL AND YEAR,13-GANG,N,Y,Approved
69TRIKE,1,1969 TRICYCLE,COULDN'T VERIFY 1969,N,Y,Approved
GIGGEDY,1,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE",INNUENDO,N,Y,Approved
H84BY4Z,7,"I HATE 4X4 VEHICLES. SATIRE, AS I WILL BE PUTTING THIS PLATE ON A 4 WHEEL DRIVE TRUCK",HATE,N,Y,Approved
TOPNUGS,7,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED,N,Y,Approved
F1OO183,7,NO MICRO,OLD PLACARD NUMBER,N,Y,Approved
69CRZIN,1,NO MICRO,NO 69 CAR,N,Y,Approved
CRPLHLR,2,NO MICRO,CRIPPLE HEALER?,N,Y,Approved
CRPPL4X,2,NO MICRO,CRIPPLE? SAME GUY AS ABOVE,N,Y,Approved
