"spaces","final_score"
"anal",0.563396780557798
"anus",0.600358712223119
"apeshit",NA
"ass",0.727833116553063
"asshole",0.561332198090673
"bangbus",NA
"bastard",0.560092424446238
"bbw",0.52508967805578
"bdsm",NA
"beaner",0.536439556990404
"beaners",0.530896780557798
"bimbos",NA
"bitch",1.50904793108115
"bitches",0.81556137772142
"blowjob",NA
"bondage",NA
"boner",0.525358712223119
"boob",0.579465703418844
"boobs",0.605531913159032
"bukkake",NA
"busty",NA
"butt",0.558824320688727
"camgirl",NA
"camslut",NA
"cialis",0.55008967805578
"clit",0.531608712223119
"cock",0.556387880010761
"cocks",0.538217424446238
"coon",0.562414878168022
"coons",0.570930858218994
"cum",0.539983902788987
"cumming",0.525269034167339
"cumshot",0.52508967805578
"cunt",0.580548244844487
"darkie",0.546371401668012
"dick",0.58515286748814
"dildo",0.529704735001345
"dolcett",NA
"dommes",NA
"dvda",NA
"ecchi",NA
"erotic",NA
"erotism",NA
"escort",0.606608712223119
"eunuch",NA
"fag",0.641462835007689
"faggot",0.617967259265316
"fecal",NA
"felch",NA
"feltch",NA
"femdom",NA
"figging",NA
"fisting",0.52508967805578
"footjob",NA
"fuck",0.747393552232142
"fuckin",0.628637309795782
"fucking",0.60471298302253
"gay sex",NA
"girl on",0.570448390278899
"goatcx",NA
"goatse",NA
"gokkun",NA
"grope",NA
"guro",NA
"handjob",0.52508967805578
"hentai",0.56267935611156
"honkey",0.555896780557797
"hooker",0.52205631781903
"horny",0.535781199340521
"humping",0.52508967805578
"incest",0.52508967805578
"jigaboo",0.57517935611156
"jizz",0.52517935611156
"juggs",NA
"kike",0.57205631781903
"kinbaku",NA
"kinky",0.530448390278899
"livesex",NA
"lolita",NA
"milf",0.541935700834006
"mong",0.571371401668012
"nambla",NA
"nawashi",NA
"negro",0.560646929696303
"neonazi",NA
"nigga",0.746213380086663
"nigger",0.596679455101234
"nig nog",0.484140435835351
"nipple",0.55299511518355
"nipples",0.575807102502018
"nsfw",NA
"nude",0.532335336872336
"nudity",NA
"nutten",NA
"nympho",NA
"orgasm",0.42508967805578
"orgy",NA
"paki",NA
"panties",0.550836553590791
"panty",0.52508967805578
"pegging",NA
"penis",0.538289232830609
"pikey",NA
"pissing",0.530448390278899
"pisspig",NA
"playboy",NA
"poof",NA
"poon",0.533602367500673
"punany",NA
"porn",0.533887375571697
"porno",0.537858712223119
"pthc",NA
"pubes",NA
"pussy",0.731520775488799
"queaf",NA
"queef",0.52508967805578
"quim",NA
"raghead",0.500269034167339
"rape",0.569960818602394
"raping",0.555448390278899
"rapist",0.556608712223119
"rectum",0.55008967805578
"rimjob",NA
"rimming",NA
"sadism",NA
"scat",0.52517935611156
"schlong",NA
"semen",0.568396780557798
"sex",0.555399784772666
"sexcam",NA
"sexo",NA
"sexy",0.54858712223119
"sexual",0.528073715361851
"shemale",NA
"shibari",NA
"shit",0.666683336152381
"shitty",0.52348547560412
"shota",NA
"skeet",0.52508967805578
"slut",0.57212981483431
"smut",0.52517935611156
"snatch",0.525627746390458
"sodomy",NA
"spastic",NA
"spic",0.582050937135683
"splooge",NA
"spooge",NA
"spunk",0.52508967805578
"strapon",NA
"suck",0.572130980859794
"sucks",0.549152387755544
"swinger",1.02508967805578
"tied up",0.52508967805578
"tit",0.557674990900314
"tits",0.534671290935108
"titties",0.56945389963076
"titty",0.558398349923774
"topless",0.52508967805578
"tosser",NA
"tranny",0.55367680028697
"tubgirl",NA
"tushy",NA
"twat",0.532659565795159
"twink",0.600358712223119
"twinkie",NA
"upskirt",NA
"vagina",0.55855864944848
"viagra",0.52508967805578
"voyeur",NA
"voyuer",NA
"vulva",NA
"wank",0.52508967805578
"wetback",0.598309848892476
"whore",0.556842581870217
"xx",0.549709136305924
"xxx",0.534001040992566
"yaoi",NA
"yiffy",NA
"abbo",NA
"abo",0.614997204644991
"abuse",0.540448390278899
"addict",0.508011837503363
"addicts",NA
"adult",0.503842424446238
"africa",0.531608712223119
"african",0.525269034167339
"alla",0.584231632632398
"allah",0.650896780557798
"amateur",0.491935700834006
"analsex",NA
"angie",0.531608712223119
"angry",0.535781199340521
"arab",0.521371401668012
"arabs",0.60008967805578
"areola",NA
"argie",0.52508967805578
"aroused",NA
"arse",0.580531913159032
"asian",0.598396780557797
"assault",0.48767935611156
"asses",0.540369697784952
"assfuck",NA
"asshat",0.491935700834006
"asshore",NA
"asskiss",NA
"asslick",NA
"assman",NA
"asswipe",NA
"attack",0.53440947000269
"babe",0.544639321757966
"babies",0.533398349923774
"badfuck",NA
"balls",0.574744697784952
"banging",0.47517935611156
"baptist",NA
"barf",NA
"barface",NA
"bast",0.560092424446238
"bazooms",NA
"beast",0.520448390278899
"beatoff",NA
"beaver",NA
"bestial",NA
"bi",1.5528203748543
"biatch",0.53767935611156
"bible",0.541935700834006
"bigass",0.52508967805578
"bigbutt",NA
"bigger",0.523241951394494
"bitcher",0.52508967805578
"bitchez",0.52508967805578
"bitchin",0.535914409375605
"bitchy",0.536342032104744
"biteme",NA
"black",0.562372636779416
"blacks",0.572592424446238
"blind",0.516230409301197
"blow",0.540130295446893
"boang",NA
"bogan",NA
"bohunk",NA
"bollick",NA
"bollock",NA
"bomb",0.542353315234671
"bombers",NA
"bombing",NA
"bombs",0.516935700834006
"bomd",NA
"bong",0.530896780557797
"boobies",0.53767935611156
"booby",0.52508967805578
"boody",NA
"boom",0.525448390278899
"boong",NA
"boonga",NA
"boonie",NA
"booty",0.553009106398936
"bra",0.563509007470871
"brea5t",NA
"breast",0.514913460676172
"brothel",NA
"bugger",NA
"buggery",NA
"bumfuck",NA
"bunga",NA
"buried",NA
"burn",0.550615385361148
"buttman",NA
"byatch",NA
"cacker",NA
"cancer",0.52302932472424
"carruth",NA
"chav",0.537704276263598
"chin",0.563293860601936
"chinese",0.52508967805578
"chink",0.603149551804673
"chinky",NA
"choad",NA
"chode",NA
"christ",0.528041207066631
"church",0.586492803336024
"cigs",0.53767935611156
"clogwog",NA
"cocaine",0.534140435835351
"cocknob",NA
"cocky",0.630448390278899
"cohee",NA
"coitus",NA
"color",0.541135324186172
"colored",0.535808447672855
"commie",0.520251546946462
"condom",0.525627746390458
"coolie",0.55008967805578
"cooly",0.533602367500673
"coondog",NA
"cra5h",NA
"crabs",NA
"crack",0.565269693564808
"crap",0.562932160500326
"crapola",NA
"crapper",NA
"crappy",0.592204735001345
"crash",0.553584880279795
"creamy",NA
"crime",0.563217424446238
"crimes",NA
"crotch",0.52508967805578
"cumfest",NA
"cumm",0.525269034167339
"cummer",NA
"cumquat",NA
"cunn",NA
"cunntt",NA
"dago",0.52508967805578
"dahmer",NA
"dammit",0.531608712223119
"damn",0.571543192328206
"damnit",0.525269034167339
"darky",0.57508967805578
"dead",0.553172361223208
"death",0.549241951394494
"dego",NA
"demon",0.567473769168684
"deposit",NA
"desire",0.491935700834006
"destroy",0.532770603533315
"deth",NA
"devil",0.572112762242373
"dickman",NA
"dickwad",NA
"diddle",NA
"die",0.570811077756546
"died",0.538263890696914
"dies",0.559392520850148
"dike",0.575896780557797
"dink",0.42508967805578
"dipshit",0.52508967805578
"dirty",0.565967177831584
"disease",0.550538068334679
"dive",0.650269034167339
"dix",0.525269034167339
"dong",0.506608712223119
"doodoo",NA
"doom",NA
"dope",0.551839521119182
"drug",0.540983902788988
"drunk",0.557055115317827
"drunken",0.53767935611156
"dumb",0.577553084426908
"dumbass",0.548563826318064
"dyefly",NA
"dyke",0.572380815914346
"eatme",0.537858712223119
"ecstacy",NA
"enema",NA
"enemy",0.533871401668012
"erect",0.52508967805578
"ero",0.557549352024704
"ethnic",0.52508967805578
"evl",0.539913460676173
"execute",0.62517935611156
"faeces",NA
"fagging",NA
"fagot",NA
"failed",0.540448390278899
"failure",0.52517935611156
"fairies",NA
"fairy",0.82508967805578
"faith",0.575686648568005
"fart",0.544168276795395
"farted",0.52508967805578
"farting",0.82508967805578
"farty",NA
"fat",0.580651927589433
"fatah",NA
"fatass",0.525269034167339
"fatfuck",NA
"fatso",NA
"fckcum",NA
"fear",0.57815947000269
"feces",NA
"felatio",NA
"felcher",NA
"fetish",0.537858712223119
"fight",0.555724173899909
"fire",0.547368845843422
"firing",NA
"fister",NA
"flange",NA
"flasher",NA
"floo",0.524700189954427
"flydie",NA
"flydye",NA
"fok",NA
"fondle",0.42508967805578
"fore",0.570709795525652
"forni",0.528003093892924
"fraud",0.505448390278899
"fu",0.812388854202086
"fubar",NA
"fuc",0.752840165626477
"fucck",NA
"fucka",0.539652273338714
"fuckbag",NA
"fucked",0.580276676297309
"fucker",0.540995874809434
"fuckers",0.535077367704486
"fuckher",0.52508967805578
"fuckina",NA
"fuckit",0.85008967805578
"fuckme",NA
"fuckoff",0.52508967805578
"fuckpig",NA
"fucks",0.558853017666577
"fuckyou",0.52508967805578
"fugly",0.543396780557797
"fuk",0.546260985561833
"fuks",0.42508967805578
"funeral",0.612858712223119
"funfuck",NA
"fungus",NA
"fuuck",0.57508967805578
"gangsta",0.53767935611156
"gay",0.565935528678322
"gaysex",NA
"geez",0.521371401668012
"geezer",NA
"geni",0.546441004068123
"genital",NA
"german",0.52517935611156
"getiton",NA
"gin",0.554156035774194
